epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26132.5,0,95.6031,0,0,0,0,0,3.55225,4.97207,3.42191,0.000138776,0.000138776,0.000138776
1,9746.42,1.02175,2.58552,1.30611,0.58701,0.5721,0.57825,0.39725,1.00023,2.00644,1.25692,0.000138795,0.000138795,0.000138795
2,14152,1.05311,1.86161,1.33017,0.54777,0.55586,0.52502,0.3407,1.08544,1.74998,1.32863,0.000264044,0.000264044,0.000264044
3,18547.8,1.0825,1.78915,1.34755,0.55888,0.52791,0.52618,0.33365,1.11383,1.64429,1.34858,0.000375532,0.000375532,0.000375532
4,22906,1.07981,1.70302,1.34636,0.58926,0.54722,0.56707,0.36977,1.07821,1.47692,1.31081,0.000355076,0.000355076,0.000355076
5,27362.8,1.05735,1.59381,1.32348,0.61226,0.53315,0.57358,0.38269,1.07356,1.44345,1.29991,0.000334434,0.000334434,0.000334434
6,31569.7,1.04445,1.52753,1.31363,0.61989,0.57049,0.60024,0.40743,1.04285,1.35692,1.28394,0.000313792,0.000313792,0.000313792
7,40391.9,1.02509,1.47576,1.29983,0.64482,0.56544,0.60381,0.41267,1.01625,1.29511,1.26186,0.000293151,0.000293151,0.000293151
8,48808.5,0.99622,1.41661,1.2833,0.65076,0.55664,0.62024,0.42962,0.99347,1.26377,1.24819,0.000272509,0.000272509,0.000272509
9,60663.3,0.98781,1.37863,1.27579,0.67059,0.57465,0.64082,0.44866,0.98973,1.21929,1.23485,0.000251868,0.000251868,0.000251868
10,88125.5,0.97141,1.32557,1.26203,0.6958,0.58788,0.65096,0.45186,0.9755,1.20318,1.22807,0.000231226,0.000231226,0.000231226
11,92219.1,0.95371,1.21997,1.25463,0.69137,0.60352,0.65844,0.45839,0.9647,1.1593,1.21878,0.000210585,0.000210585,0.000210585
12,103412,0.92354,1.13943,1.23133,0.69607,0.63049,0.67869,0.47755,0.96572,1.13511,1.21473,0.000189943,0.000189943,0.000189943
13,110873,0.90046,1.10018,1.21859,0.67627,0.6229,0.68123,0.48319,0.95473,1.0994,1.20333,0.000169302,0.000169302,0.000169302
14,114937,0.88129,1.04883,1.20067,0.68165,0.63305,0.68248,0.50161,0.91963,1.07168,1.18328,0.00014866,0.00014866,0.00014866
15,120399,0.86202,1.01543,1.18603,0.69697,0.62132,0.68736,0.4962,0.91753,1.04241,1.1825,0.000128019,0.000128019,0.000128019
16,140885,0.84737,0.97051,1.17254,0.73374,0.61838,0.69883,0.51026,0.91084,1.03081,1.17546,0.000107378,0.000107378,0.000107378
17,168783,0.82746,0.93952,1.1594,0.7242,0.62569,0.6954,0.50677,0.90456,1.02291,1.16665,8.6736e-05,8.6736e-05,8.6736e-05
18,176773,0.81303,0.91221,1.1456,0.73002,0.6448,0.70179,0.5163,0.89228,1.00157,1.15814,6.60945e-05,6.60945e-05,6.60945e-05
19,180403,0.79229,0.87948,1.1342,0.7384,0.64019,0.70762,0.52246,0.89015,0.99324,1.15645,4.5453e-05,4.5453e-05,4.5453e-05
20,184564,0.78231,0.85564,1.12376,0.73726,0.64273,0.70977,0.52426,0.883,0.98826,1.15225,2.48115e-05,2.48115e-05,2.48115e-05
